@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'OVER / UNDER',1.74,1768.724149
'MATCH ODDS',2.22,1754.950121
'OVER / UNDER',1.85,1771.690616
'ASIAN HANDICAP',1.79,1738.503977
'ASIAN HANDICAP',1.85,1979.668917
'OVER / UNDER',1.83,1765.30968
'ASIAN HANDICAP',1.72,2011.714003
'OVER / UNDER',1.74,1769.047981
'ASIAN HANDICAP',1.84,2000.014356
'OVER / UNDER',1.82,1755.130716
'OVER / UNDER',1.8,1762.567601
'OVER / UNDER',1.76,1762.366223
'ASIAN HANDICAP',1.86,1947.454479
'OVER / UNDER',1.8,1783.446923
'OVER / UNDER',1.7,210.02033
'OVER / UNDER',1.88,1772.232992
'MATCH ODDS',1.67,210.02033
'ASIAN HANDICAP',1.87,1625.076007
'MATCH ODDS',2.23,1461.402604
'OVER / UNDER',1.69,241.763191
'OVER / UNDER',1.71,1767.114688
'MATCH ODDS',1.95,1773.342993
'OVER / UNDER',1.85,1771.690616
'ASIAN HANDICAP',1.92,1976.695226
'OVER / UNDER',2.08,1789.726483
'ASIAN HANDICAP',1.89,207.67219
'OVER / UNDER',1.75,1768.925555
'OVER / UNDER',1.88,1755.494696
'OVER / UNDER',1.83,1755.130716
'OVER / UNDER',1.69,1760.85921
'ASIAN HANDICAP',1.86,1994.664923
'OVER / UNDER',1.7,1750.680246
'MATCH ODDS',1.75,387.05271
'MATCH ODDS',2,1769.94531
'OVER / UNDER',1.73,1766.707978
'OVER / UNDER',1.8,241.763191
'ASIAN HANDICAP',1.73,1956.167919
'OVER / UNDER',1.74,1752.309686
'OVER / UNDER',1.69,430.515248
'ASIAN HANDICAP',1.89,1947.780274
'MATCH ODDS',1.76,1770.643224
'ASIAN HANDICAP',1.74,2056.015179
'ASIAN HANDICAP',2,1942.997099
'OVER / UNDER',1.71,748.984773
'MATCH ODDS',1.8,1770.787666
'OVER / UNDER',1.74,210.02033
'OVER / UNDER',1.85,210.02033
'OVER / UNDER',1.78,1768.925555
'ASIAN HANDICAP',1.92,1738.503977
'OVER / UNDER',1.94,1633.150551
'OVER / UNDER',1.83,1204.989929
'MATCH ODDS',1.83,1098.896498
'MATCH ODDS',1.73,1765.4908
'ASIAN HANDICAP',1.69,1940.246857
'ASIAN HANDICAP',1.8,1979.678222
'MATCH ODDS',1.91,408.970204
'OVER / UNDER',1.75,1768.925555
'OVER / UNDER',1.75,1762.366223
'OVER / UNDER',1.89,1755.494696
'ASIAN HANDICAP',1.91,1946.178657
'ASIAN HANDICAP',1.86,1994.664923
'MATCH ODDS',1.96,1774.809767
'OVER / UNDER',1.8,1769.126934
'MATCH ODDS',1.73,1765.4908
'MATCH ODDS',1.85,1770.619829
