@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-2

@attribute Tipster {'Jorge Aragundy','Anton Ebdon','Daniel Larsen','Simeone Tassini','Chris Tomas','Christopher Silenos','Jeremy Price','Gabriel Elias','Jason Mills','Darijo Belic','Eduardo Borrero','Silvio Bonatti','Robert Volkan','Achille Piecheur','Ivan Kacic','Amar Sidran','Radek Kovar','Neil Baxter','Burke Ziobro','Sony Luiz','Hubert Tisci',Bettingspaintips,'Charlie Bryson','Eli Pickard','Rosario Barone',Knipser,'Aurelien Delon','Francesco Alinari','Frankie Geary','Owen Garth','Blake Foss','Rufus Rasco'}
@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric
@attribute Take numeric

@data
'Jorge Aragundy','ASIAN HANDICAP',2.9,1983.745124,80
'Jorge Aragundy','ASIAN HANDICAP',2.95,2001.536715,80
'Jorge Aragundy','ASIAN HANDICAP',3.06,2048.04698,40
'Jorge Aragundy','OVER / UNDER',2.96,1794.235875,40
'Jorge Aragundy','OVER / UNDER',2.95,1783.778572,60
'Jorge Aragundy','ASIAN HANDICAP',2.85,2072.641374,100
'Jorge Aragundy','ASIAN HANDICAP',2.98,1998.32801,60
'Jorge Aragundy','OVER / UNDER',2.97,1624.656309,60
'Anton Ebdon','ASIAN HANDICAP',2.74,748.984773,80
'Jorge Aragundy','ASIAN HANDICAP',2.88,1953.996277,100
'Anton Ebdon','ASIAN HANDICAP',2.75,748.984773,80
'Jorge Aragundy','OVER / UNDER',2.9,1794.382289,60
'Anton Ebdon','MATCH ODDS',1.79,1770.439308,80
'Anton Ebdon','MATCH ODDS',1.75,1770.643224,80
'Anton Ebdon','MATCH ODDS',1.97,1774.809767,80
'Anton Ebdon','MATCH ODDS',1.91,1774.286217,80
'Anton Ebdon','ASIAN HANDICAP',2.71,1967.042745,80
'Anton Ebdon','MATCH ODDS',1.75,1770.643224,80
'Anton Ebdon','OVER / UNDER',2.8,1769.126934,100
'Anton Ebdon','MATCH ODDS',1.73,1765.4908,80
'Anton Ebdon','ASIAN HANDICAP',2.74,375.175853,60
'Anton Ebdon','MATCH ODDS',1.74,1770.712201,80
'Jorge Aragundy','ASIAN HANDICAP',3.3,1957.100156,80
'Anton Ebdon','ASIAN HANDICAP',2.74,1973.694516,80
'Jorge Aragundy','OVER / UNDER',3.02,1766.774889,60
'Anton Ebdon','OVER / UNDER',2.75,1762.366223,100
'Jorge Aragundy','MATCH ODDS',2.4,1753.360257,50
'Anton Ebdon','ASIAN HANDICAP',2.7,1946.462505,60
'Anton Ebdon','ASIAN HANDICAP',2.79,1973.996474,80
'Anton Ebdon','MATCH ODDS',1.65,210.02033,80
'Jorge Aragundy','MATCH ODDS',2.63,1740.824578,80
'Jorge Aragundy','OVER / UNDER',2.91,1772.047228,60
'Jorge Aragundy','ASIAN HANDICAP',2.95,2002.710353,60
'Jorge Aragundy','ASIAN HANDICAP',2.95,2080.822505,100
'Anton Ebdon','ASIAN HANDICAP',2.81,1979.673683,80
'Anton Ebdon','OVER / UNDER',2.83,1755.130716,80
'Anton Ebdon','ASIAN HANDICAP',2.8,441.725123,100
'Anton Ebdon','ASIAN HANDICAP',2.71,1967.042745,60
'Anton Ebdon','MATCH ODDS',1.67,1763.553077,80
'Anton Ebdon','MATCH ODDS',1.83,1770.783127,80
'Anton Ebdon','MATCH ODDS',1.75,1770.643224,80
'Anton Ebdon','MATCH ODDS',1.67,1761.908738,80
'Jorge Aragundy','ASIAN HANDICAP',2.88,1953.996277,80
'Jorge Aragundy','ASIAN HANDICAP',2.72,1962.159681,80
'Jorge Aragundy','ASIAN HANDICAP',2.98,1959.878947,80
'Anton Ebdon','MATCH ODDS',1.75,1770.643224,80
'Jorge Aragundy','ASIAN HANDICAP',2.84,2082.63837,70
'Jorge Aragundy','ASIAN HANDICAP',2.95,1451.624936,70
'Anton Ebdon','ASIAN HANDICAP',2.7,1967.167503,80
'Anton Ebdon','MATCH ODDS',1.73,748.984773,100
'Anton Ebdon','MATCH ODDS',1.73,1765.4908,60
'Jorge Aragundy','ASIAN HANDICAP',2.88,1359.773484,80
'Jorge Aragundy','OVER / UNDER',2.83,1765.30968,80
'Anton Ebdon','MATCH ODDS',1.91,210.02033,80
'Anton Ebdon','MATCH ODDS',1.77,1770.643224,60
'Anton Ebdon','MATCH ODDS',1.7,1766.022708,80
'Anton Ebdon','MATCH ODDS',1.67,1763.553077,20
'Anton Ebdon','MATCH ODDS',1.75,1770.643224,80
'Anton Ebdon','ASIAN HANDICAP',2.77,1996.234857,20
'Anton Ebdon','MATCH ODDS',1.67,1763.553077,40
'Jorge Aragundy','MATCH ODDS',2.1,1770.462993,100
'Anton Ebdon','ASIAN HANDICAP',2.71,1967.042745,40
'Anton Ebdon','MATCH ODDS',1.85,1770.619829,20
'Anton Ebdon','ASIAN HANDICAP',2.74,1973.694516,20
'Anton Ebdon','MATCH ODDS',1.83,1770.783127,20
'Jorge Aragundy','MATCH ODDS',1.91,1774.286217,80
'Anton Ebdon','ASIAN HANDICAP',2.67,1959.813883,20
'Anton Ebdon','OVER / UNDER',2.84,1771.695382,20
'Anton Ebdon','ASIAN HANDICAP',2.93,1988.365025,20
'Jorge Aragundy','OVER / UNDER',3.1,1767.106148,50
'Anton Ebdon','OVER / UNDER',2.67,241.763191,20
'Anton Ebdon','ASIAN HANDICAP',2.7,2012.893705,20
'Anton Ebdon','OVER / UNDER',2.85,241.763191,20
'Anton Ebdon','MATCH ODDS',1.87,219.694724,20
'Anton Ebdon','OVER / UNDER',2.83,1771.869012,20
'Anton Ebdon','MATCH ODDS',1.96,1773.165429,20
'Anton Ebdon','OVER / UNDER',2.89,241.763191,20
'Anton Ebdon','ASIAN HANDICAP',2.71,2082.042357,20
'Anton Ebdon','MATCH ODDS',1.65,1762.050453,20
'Anton Ebdon','ASIAN HANDICAP',2.78,207.67219,40
'Anton Ebdon','MATCH ODDS',1.67,1763.553077,20
'Anton Ebdon','ASIAN HANDICAP',2.78,1973.996474,20
'Anton Ebdon','ASIAN HANDICAP',2.67,2044.887527,40
'Anton Ebdon','MATCH ODDS',1.69,1763.368875,20
'Anton Ebdon','OVER / UNDER',2.66,1761.568926,40
'Anton Ebdon','MATCH ODDS',1.7,1766.022708,20
'Anton Ebdon','MATCH ODDS',1.8,1770.787666,20
'Anton Ebdon','ASIAN HANDICAP',2.71,207.67219,40
'Anton Ebdon','MATCH ODDS',1.83,414.16655,60
'Anton Ebdon','OVER / UNDER',2.7,1760.85921,40
'Anton Ebdon','MATCH ODDS',1.9,1774.310362,20
'Anton Ebdon','ASIAN HANDICAP',2.89,1967.71726,20
'Anton Ebdon','ASIAN HANDICAP',2.83,210.02033,20
'Anton Ebdon','MATCH ODDS',1.83,1770.783127,20
'Anton Ebdon','MATCH ODDS',1.75,1770.643224,20
'Anton Ebdon','MATCH ODDS',1.86,1769.04319,20
'Anton Ebdon','MATCH ODDS',1.91,219.694724,20
'Anton Ebdon','MATCH ODDS',1.7,1766.022708,20
'Anton Ebdon','ASIAN HANDICAP',2.78,1968.007124,40
'Anton Ebdon','ASIAN HANDICAP',2.82,207.67219,20
'Anton Ebdon','OVER / UNDER',2.74,1768.724149,20
'Anton Ebdon','MATCH ODDS',2.22,1754.950121,20
'Anton Ebdon','OVER / UNDER',2.85,1771.690616,40
'Jorge Aragundy','ASIAN HANDICAP',2.79,1738.503977,70
'Anton Ebdon','ASIAN HANDICAP',2.85,1979.668917,20
'Anton Ebdon','OVER / UNDER',2.83,1765.30968,20
'Anton Ebdon','ASIAN HANDICAP',2.72,2011.714003,20
'Anton Ebdon','OVER / UNDER',2.74,1769.047981,40
'Anton Ebdon','ASIAN HANDICAP',2.84,2000.014356,20
'Anton Ebdon','OVER / UNDER',2.82,1755.130716,20
'Anton Ebdon','OVER / UNDER',2.8,1762.567601,20
'Anton Ebdon','OVER / UNDER',2.76,1762.366223,20
'Jorge Aragundy','ASIAN HANDICAP',2.86,1947.454479,50
'Jorge Aragundy','OVER / UNDER',2.8,1783.446923,50
'Anton Ebdon','OVER / UNDER',2.7,210.02033,20
'Anton Ebdon','OVER / UNDER',2.88,1772.232992,20
'Anton Ebdon','MATCH ODDS',1.67,210.02033,20
'Jorge Aragundy','ASIAN HANDICAP',2.87,1625.076007,100
'Jorge Aragundy','MATCH ODDS',2.23,1461.402604,80
'Anton Ebdon','OVER / UNDER',2.69,241.763191,40
'Anton Ebdon','OVER / UNDER',2.71,1767.114688,40
'Jorge Aragundy','MATCH ODDS',1.95,1773.342993,80
'Anton Ebdon','OVER / UNDER',2.85,1771.690616,40
'Jorge Aragundy','ASIAN HANDICAP',2.92,1976.695226,30
'Jorge Aragundy','OVER / UNDER',3.08,1789.726483,70
'Anton Ebdon','ASIAN HANDICAP',2.89,207.67219,20
'Anton Ebdon','OVER / UNDER',2.75,1768.925555,40
'Anton Ebdon','OVER / UNDER',2.88,1755.494696,20
'Anton Ebdon','OVER / UNDER',2.83,1755.130716,20
'Anton Ebdon','OVER / UNDER',2.69,1760.85921,20
'Jorge Aragundy','ASIAN HANDICAP',2.86,1994.664923,80
'Anton Ebdon','OVER / UNDER',2.7,1750.680246,20
'Anton Ebdon','MATCH ODDS',1.75,387.05271,40
'Jorge Aragundy','MATCH ODDS',2,1769.94531,80
'Anton Ebdon','OVER / UNDER',2.73,1766.707978,40
'Anton Ebdon','OVER / UNDER',2.8,241.763191,40
'Anton Ebdon','ASIAN HANDICAP',2.73,1956.167919,30
'Anton Ebdon','OVER / UNDER',2.74,1752.309686,40
'Anton Ebdon','OVER / UNDER',2.69,430.515248,40
'Jorge Aragundy','ASIAN HANDICAP',2.89,1947.780274,90
'Anton Ebdon','MATCH ODDS',1.76,1770.643224,30
'Jorge Aragundy','ASIAN HANDICAP',2.74,2056.015179,100
'Jorge Aragundy','ASIAN HANDICAP',3,1942.997099,80
'Anton Ebdon','OVER / UNDER',2.71,748.984773,30
'Anton Ebdon','MATCH ODDS',1.8,1770.787666,20
'Anton Ebdon','OVER / UNDER',2.74,210.02033,20
'Anton Ebdon','OVER / UNDER',2.85,210.02033,40
'Anton Ebdon','OVER / UNDER',2.78,1768.925555,20
'Jorge Aragundy','ASIAN HANDICAP',2.92,1738.503977,60
'Jorge Aragundy','OVER / UNDER',2.94,1633.150551,60
'Anton Ebdon','OVER / UNDER',2.83,1204.989929,30
'Anton Ebdon','MATCH ODDS',1.83,1098.896498,30
'Anton Ebdon','MATCH ODDS',1.73,1765.4908,35
'Anton Ebdon','ASIAN HANDICAP',2.69,1940.246857,20
'Anton Ebdon','ASIAN HANDICAP',2.8,1979.678222,40
'Anton Ebdon','MATCH ODDS',1.91,408.970204,30
'Anton Ebdon','OVER / UNDER',2.75,1768.925555,30
'Anton Ebdon','OVER / UNDER',2.75,1762.366223,25
'Anton Ebdon','OVER / UNDER',2.89,1755.494696,20
'Jorge Aragundy','ASIAN HANDICAP',2.91,1946.178657,60
'Jorge Aragundy','ASIAN HANDICAP',2.86,1994.664923,80
'Anton Ebdon','MATCH ODDS',1.96,1774.809767,20
'Anton Ebdon','OVER / UNDER',2.8,1769.126934,20
'Anton Ebdon','MATCH ODDS',1.73,1765.4908,35
'Anton Ebdon','MATCH ODDS',1.85,1770.619829,20
'Anton Ebdon','OVER / UNDER',2.73,210.02033,30
'Jorge Aragundy','OVER / UNDER',3.02,1632.933201,80
'Anton Ebdon','MATCH ODDS',1.75,1768.998886,30
'Anton Ebdon','ASIAN HANDICAP',2.76,748.984773,30
'Anton Ebdon','OVER / UNDER',2.72,1766.707978,20
'Jorge Aragundy','ASIAN HANDICAP',2.91,1625.076007,80
'Anton Ebdon','ASIAN HANDICAP',2.8,1085.215009,20
'Anton Ebdon','ASIAN HANDICAP',2.73,1137.985376,20
'Anton Ebdon','MATCH ODDS',1.85,1770.619829,30
'Anton Ebdon','ASIAN HANDICAP',2.83,210.02033,40
'Anton Ebdon','MATCH ODDS',1.97,1774.809767,30
'Anton Ebdon','OVER / UNDER',2.76,1762.366223,25
