@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'ASIAN HANDICAP','MATCH ODDS','OVER UNDER'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'ASIAN HANDICAP',2.16,705.29946
'MATCH ODDS',1.93,1607.056194
'OVER UNDER',1.8,1759.906501
'ASIAN HANDICAP',1.85,892.748935
'ASIAN HANDICAP',2.13,1110.099696
'ASIAN HANDICAP',2.57,1240.523491
'MATCH ODDS',2.3,1018.481843
'MATCH ODDS',2.36,1424.613439
'MATCH ODDS',2,1033.290164
'ASIAN HANDICAP',2.25,1312.538953
'ASIAN HANDICAP',2.2,1068.590828
'ASIAN HANDICAP',2.1,1874.712319
'ASIAN HANDICAP',2.33,1093.48106
'ASIAN HANDICAP',1.91,1217.893745
'ASIAN HANDICAP',1.85,2062.40456
'ASIAN HANDICAP',2.53,1675.092719
'MATCH ODDS',2,1033.290164
'ASIAN HANDICAP',2.02,2018.269616
'MATCH ODDS',1.8,702.21136
'ASIAN HANDICAP',2.33,1288.140393
'ASIAN HANDICAP',2.1,1273.989282
'ASIAN HANDICAP',1.79,2075.434401
'ASIAN HANDICAP',1.87,1968.345804
'ASIAN HANDICAP',2.08,1517.381818
'ASIAN HANDICAP',1.95,1912.683542
'ASIAN HANDICAP',2,1230.018394
'MATCH ODDS',1.9,1035.151615
'ASIAN HANDICAP',2.14,1958.238902
'ASIAN HANDICAP',2.53,1494.791935
'ASIAN HANDICAP',1.87,1980.043128
'MATCH ODDS',2.31,1747.924216
'ASIAN HANDICAP',1.74,1897.518555
'MATCH ODDS',2.2,861.549212
'OVER UNDER',2.52,1747.645298
'MATCH ODDS',2.1,626.727015
'OVER UNDER',1.94,1772.136903
'ASIAN HANDICAP',2.1,1869.545026
'ASIAN HANDICAP',1.94,1307.655852
'ASIAN HANDICAP',2.01,1224.130357
'ASIAN HANDICAP',2.04,1105.096139
'ASIAN HANDICAP',1.96,1326.262349
'ASIAN HANDICAP',2.21,903.819718
'MATCH ODDS',3.1,1708.044374
'OVER UNDER',1.72,878.742804
'ASIAN HANDICAP',1.85,660.825535
'ASIAN HANDICAP',2.05,1486.51782
'ASIAN HANDICAP',1.94,1948.120772
'ASIAN HANDICAP',1.99,771.128633
'ASIAN HANDICAP',2.09,679.017255
'ASIAN HANDICAP',2.07,1959.587079
'MATCH ODDS',1.7,849.353771
'MATCH ODDS',2,1030.9561
'ASIAN HANDICAP',2.16,1969.344493
'ASIAN HANDICAP',1.83,1939.897982
'ASIAN HANDICAP',1.83,1903.262389
'ASIAN HANDICAP',2.25,1918.995308
'ASIAN HANDICAP',2.14,1200.959047
'MATCH ODDS',5.8,1679.841935
'ASIAN HANDICAP',2.01,1984.044452
'ASIAN HANDICAP',2.28,1658.530042
'MATCH ODDS',1.8,570.4926
'ASIAN HANDICAP',1.92,1948.60193
'ASIAN HANDICAP',3.55,1192.860922
'MATCH ODDS',2.21,1010.557668
'ASIAN HANDICAP',1.94,1353.805264
'ASIAN HANDICAP',1.96,1227.173057
'ASIAN HANDICAP',1.98,884.632458
'ASIAN HANDICAP',2.23,635.29563
'ASIAN HANDICAP',1.95,1970.80716
'MATCH ODDS',2.1,958.392805
'MATCH ODDS',1.9,582.801
'ASIAN HANDICAP',1.95,1947.943688
'OVER UNDER',1.83,1737.775315
'MATCH ODDS',2.25,1004.959358
'ASIAN HANDICAP',1.72,1704.53444
'ASIAN HANDICAP',1.83,965.137587
