Count,Game date,Sport,Competition,Bet,Return,Result,Pick,Score,Bookmaker,Odd,Stake,Profit,Tipster,CST
46,2016-02-20 18:30:00,SOC,Romania,Dinamo Bucuresti - Concordia Chiajna,5,WIN,Home -1 (Match),4:0,PINNACLE,2.5,2.00,3.00,rooney27,2016-02-16 13:37:21
47,2016-02-20 18:30:00,SOC,Romania,Dinamo Bucuresti - Concordia Chiajna,9.05,WIN,Home -0.5 (Match),4:0,PINNACLE,1.81,5.00,4.05,rooney27,2016-02-16 13:36:59
48,2016-02-14 17:00:00,SOC,Romania,Dinamo Bucuresti - Botosani,0.00,LOST,Away 0 (Match),1:0,PINNACLE,2.65,2.00,-2.00,rooney27,2016-02-14 06:59:37
49,2016-02-14 17:00:00,SOC,Romania,Dinamo Bucuresti - Botosani,0.00,LOST,Away +0.5 (Match),1:0,PINNACLE,1.81,5.00,-5.00,rooney27,2016-02-14 06:58:54
50,2016-02-14 14:30:00,SOC,Romania,ACS Poli Timisoara - Voluntari,5.76,WIN,Away 0 (Match),1:2,PINNACLE,2.88,2.00,3.76,rooney27,2016-02-13 19:37:16
51,2016-02-14 14:30:00,SOC,Romania,ACS Poli Timisoara - Voluntari,9.2,WIN,Away +0.5 (Match),1:2,PINNACLE,1.84,5.00,4.20,rooney27,2016-02-13 19:35:44
52,2016-02-15 18:30:00,SOC,Romania,Concordia Chiajna - Steaua Bucuresti,11.5,WIN,Away -1.25 (Match),0:2,PINNACLE,2.3,5.00,6.50,rooney27,2016-02-10 06:59:55
53,2016-02-15 18:30:00,SOC,Romania,Concordia Chiajna - Steaua Bucuresti,9.8,WIN,Away -1 (Match),0:2,PINNACLE,1.96,5.00,4.80,rooney27,2016-02-10 06:56:32
54,2016-01-19 18:00:00,SOC,Friendly,BSC Young Boys Bern - FC Steaua Bucuresti,0.00,LOST,BSC Young Boys Bern (1X2-First Half),1-1,Bet365,2.63,2.00,-2.00,rooney27,2016-01-19 14:52:44
55,2015-12-21 18:30:00,SOC,Romania,Steaua Bucuresti - ACS Poli Timisoara,9.55,WIN,Home -1 (Match),3:1,PINNACLE,1.91,5.00,4.55,rooney27,2015-12-21 12:06:21
56,2015-12-21 16:00:00,SOC,Romania,Voluntari - Viitorul Constanta,9.7,WIN,Away 0 (Match),2:3,PINNACLE,1.94,5.00,4.70,rooney27,2015-12-16 14:55:47
57,2015-12-21 16:00:00,SOC,Romania,Voluntari - Viitorul Constanta,13.55,WIN,Away -0.5 (Match),2:3,PINNACLE,2.71,5.00,8.55,rooney27,2015-12-16 14:55:09
58,2015-12-14 18:30:00,SOC,Romania,Viitorul Constanta - Steaua Bucuresti,0.00,LOST,Over 2.25 (Match),0:1,PINNACLE,1.92,1.00,-1.00,rooney27,2015-12-13 18:17:20
59,2015-12-14 18:30:00,SOC,Romania,Viitorul Constanta - Steaua Bucuresti,0.00,LOST,Over 2.25 (Match),0:1,PINNACLE,1.96,5.00,-5.00,rooney27,2015-12-13 17:12:45
60,2015-12-13 12:00:00,SOC,Romania,CSU Craiova - Voluntari,9.65,WIN,Over 2.25 (Match),1:2,PINNACLE,1.93,5.00,4.65,rooney27,2015-12-12 13:51:04
61,2015-12-11 18:30:00,SOC,Romania,ASA Targu Mures - CSMS Iasi,2.5,LOST,Home -0.25 (Match),1:1,PINNACLE,1.83,5.00,-2.50,rooney27,2015-12-09 05:10:41
62,2015-12-07 18:30:00,SOC,Romania,Petrolul Ploiesti - Dinamo Bucuresti,2.76,WIN,Away -0.5 (Match),1:2,PINNACLE,2.76,1.00,1.76,rooney27,2015-12-06 14:15:23
63,2015-12-07 18:30:00,SOC,Romania,Petrolul Ploiesti - Dinamo Bucuresti,9.85,WIN,Away 0 (Match),1:2,PINNACLE,1.97,5.00,4.85,rooney27,2015-12-06 14:00:32
64,2015-12-05 18:30:00,SOC,Romania,ACS Poli Timisoara - Viitorul Constanta,8.6,WIN,Away +0.25 (Match),1:2,PINNACLE,1.72,5.00,3.60,rooney27,2015-12-05 08:19:07
65,2015-12-05 18:30:00,SOC,Romania,ACS Poli Timisoara - Viitorul Constanta,10.4,WIN,Away 0 (Match),1:2,PINNACLE,2.08,5.00,5.40,rooney27,2015-12-05 08:18:41
66,2015-12-03 16:00:00,SOC,Livebet,Astra Giurgiu - Voluntari,0.00,LOST,FT Over 2.5 (0:1),1:1,188bet,1.94,5.00,-5.00,rooney27,2015-12-03 17:02:35
67,2015-12-02 18:30:00,SOC,Romania,ASA Targu Mures - Steaua Bucuresti,0.00,LOST,Home -0.5 (Match),1:1,PINNACLE,2.88,1.00,-1.00,rooney27,2015-12-02 11:45:59
68,2015-12-02 16:00:00,SOC,Romania,Botosani - Petrolul Ploiesti,9.35,WIN,Over 2 (Match),2:1,PINNACLE,1.87,5.00,4.35,rooney27,2015-12-01 16:47:39
69,2015-12-02 18:30:00,SOC,Romania,ASA Targu Mures - Steaua Bucuresti,5,PUSH,Home 0 (Match),1:1,PINNACLE,1.96,5.00,0.00,rooney27,2015-11-30 11:38:00
70,2015-11-30 18:30:00,SOC,Romania,Voluntari - Dinamo Bucuresti,8.7,WIN,Over 2 (Match),1:3,PINNACLE,1.74,5.00,3.70,rooney27,2015-11-29 19:33:56
71,2015-11-28 18:30:00,SOC,Romania,Viitorul Constanta - CSU Craiova,9.95,WIN,Home -0.25 (Match),4:0,PINNACLE,1.99,5.00,4.95,rooney27,2015-11-27 06:29:49
72,2015-11-29 18:30:00,SOC,Romania,Steaua Bucuresti - Astra Giurgiu,14.15,WIN,Away 0 (Match),0:1,PINNACLE,2.83,5.00,9.15,rooney27,2015-11-25 10:07:12
73,2015-11-29 19:30:00,SOC,Romania,FC Steaua Bucuresti - Astra Giurgiu,9.25,WIN,Astra Giurgiu +0.5 (Asian Handicap-Full Time Excluding Overtime),0:1,SBOBET,1.85,5.00,4.25,rooney27,2015-11-24 19:08:30
74,2015-11-23 16:00:00,SOC,Livebet,Botosani - Voluntari,7.28,WIN,FT Over 3.75 (1:2),2:2,188bet,1.91,5.00,2.28,rooney27,2015-11-23 17:27:19
75,2015-11-22 18:30:00,SOC,Romania,Dinamo Bucuresti - Steaua Bucuresti,13.3,WIN,Home 0 (Match),3:1,PINNACLE,2.66,5.00,8.30,rooney27,2015-11-22 15:56:43
76,2015-11-21 19:15:00,SOC,Romania,Astra Giurgiu - ACS Poli Timisoara,0.00,LOST,Home -0.75 (Match),2:2,PINNACLE,1.88,5.00,-5.00,rooney27,2015-11-21 04:46:42
77,2015-11-21 14:30:00,SOC,Romania,CFR Cluj - CSMS Iasi,0.00,LOST,Home -0.5 (Match),0:0,PINNACLE,1.77,5.00,-5.00,rooney27,2015-11-21 04:44:04
78,2015-11-22 18:30:00,SOC,Romania,Dinamo Bucuresti - Steaua Bucuresti,8.7,WIN,Home +0.5 (Match),3:1,PINNACLE,1.74,5.00,3.70,rooney27,2015-11-21 04:43:23
79,2015-11-08 18:30:00,SOC,Romania,Steaua Bucuresti - Botosani,0.00,LOST,Away +1 (Match),5:3,PINNACLE,1.96,5.00,-5.00,rooney27,2015-11-07 18:43:09
80,2015-11-08 12:00:00,SOC,Romania,CSU Craiova - ASA Targu Mures,5,PUSH,Home 0 (Match),1:1,PINNACLE,1.66,5.00,0.00,rooney27,2015-11-07 18:41:40
81,2015-11-07 18:30:00,SOC,Romania,ACS Poli Timisoara - Dinamo Bucuresti,10.45,WIN,Away 0 (Match),0:1,PINNACLE,2.09,5.00,5.45,rooney27,2015-11-07 18:22:47
82,2015-11-07 16:00:00,SOC,Romania,Voluntari - CFR Cluj,2.5,LOST,Away -0.25 (Match),2:2,PINNACLE,1.99,5.00,-2.50,rooney27,2015-11-07 08:20:39
83,2015-11-02 18:30:00,SOC,Romania,Dinamo Bucuresti - Viitorul Constanta,8.7,WIN,Away +0.5 (Match),1:5,PINNACLE,1.74,5.00,3.70,rooney27,2015-11-01 19:34:34
84,2015-11-01 16:00:00,SOC,Romania,Pandurii Targu-Jiu - Voluntari,0.5,LOST,Home -1.25 (Match),2:1,PINNACLE,2.75,1.00,-0.50,rooney27,2015-11-01 15:30:39
85,2015-11-01 16:00:00,SOC,Romania,Pandurii Targu-Jiu - Voluntari,7.35,WIN,Home -0.75 (Match),2:1,PINNACLE,1.94,5.00,2.35,rooney27,2015-11-01 15:22:04
86,2015-11-02 16:00:00,SOC,Romania,Botosani - ACS Poli Timisoara,5,LOST,Home -0.25 (Match),1:1,PINNACLE,1.89,10.00,-5.00,rooney27,2015-10-31 13:58:52
87,2015-10-30 18:30:00,SOC,Romania,Astra Giurgiu - CS U Craiova,0.00,LOST,Over 2 (Over Under-Full Time Excluding Overtime),1:0,SBOBET,2.19,5.00,-5.00,rooney27,2015-10-30 18:14:41
